、,、,10,10,151,-1.2267
「,「,6,6,352,-2.0388
シ,私,1285,1285,17,-4.2442
ナカ,中,1285,1285,282,-4.2761
タ,多,1285,1285,351,-4.9124
フクミ,含み,1285,1285,258,-4.9821
トキ,時,1285,1285,282,-5.0461
ノ,の,368,368,408,-1.2458
。,。,8,8,61,-1.3115
タチ,立ち,1285,1285,356,-5.2862
カズ,数,1285,1285,387,-5.3011
ニ,に,151,151,282,-1.3747
『,『,6,6,322,-3.4104
キリ,切り,1285,1285,60,-5.3631
ナ,名,1285,1285,454,-5.3730
タ,た,435,435,282,-1.4167
ヲ,を,156,156,356,-1.4175
ミ,見,1285,1285,52,-5.3943
ガ,が,148,148,468,-1.4621
ジブン,自分,1285,1285,161,-5.4686
ヒト,人,1285,1285,408,-5.4734
テ,て,307,307,356,-1.5059
アソビ,遊び,1285,1285,290,-5.5478
シ,し,610,610,258,-1.5936
デ,で,149,149,468,-1.6148
メ,目,1285,1285,332,-5.6594
モ,も,262,262,468,-1.7239
ムラ,村,1285,1285,489,-5.7051
キョウ,強,1285,1285,351,-5.7181
デキ,出来,1285,1285,268,-5.7335
